date,national_demand,wind_generation,solar_generation,daily_average_forecast_carbon_intensity,daily_average_actual_carbon_intensity,sap_actual_p_per_kwh,sap_7day_rolling_average_p_per_kwh,day,month,weekday,weekday_number,is_weekend
2023-05-14,21121.020833333332,955.4791666666666,2551.4375,157.375,154.27083333333334,2.6571,2.8607,14,5,Sunday,6,True
2023-05-15,22879.5,1728.0208333333333,3083.1875,126.8125,125.14583333333333,2.4804,2.8238,15,5,Monday,0,False
2023-05-16,24164.270833333332,1422.0,3087.6875,146.35416666666666,145.85416666666666,2.5115,2.748,16,5,Tuesday,1,False
2023-05-17,25023.958333333332,653.9583333333334,2603.8541666666665,196.875,197.54166666666666,2.4362,2.6772,17,5,Wednesday,2,False
2023-05-18,24293.375,684.9375,2745.9791666666665,178.54166666666666,179.89583333333334,2.2631,2.6179,18,5,Thursday,3,False
2023-05-19,24584.333333333332,657.4791666666666,2180.1041666666665,196.41666666666666,180.5,2.1833,2.5367,19,5,Friday,4,False
2023-05-20,19932.145833333332,903.375,3583.0625,111.875,102.75,2.281,2.4625,20,5,Saturday,5,True
2023-05-21,19689.166666666668,774.8333333333334,3337.4375,106.08333333333333,103.47916666666667,2.1997,2.4018,21,5,Sunday,6,True
2023-05-22,22650.270833333332,1316.6458333333333,2889.7083333333335,116.5,115.52083333333333,2.2011,2.3365,22,5,Monday,0,False
2023-05-23,23575.6875,970.5,2752.4583333333335,135.54166666666666,136.22916666666666,2.2949,2.2966,23,5,Tuesday,1,False
2023-05-24,22494.166666666668,1189.3541666666667,3636.5625,154.70833333333334,153.27083333333334,2.2564,2.2656,24,5,Wednesday,2,False
2023-05-25,23577.229166666668,739.7916666666666,2842.2708333333335,161.0,154.77083333333334,2.1022,2.2399,25,5,Thursday,3,False
2023-05-26,22230.625,656.6666666666666,3586.2291666666665,149.08333333333334,144.0625,1.9888,2.2169,26,5,Friday,4,False
2023-05-27,18872.166666666668,1136.4583333333333,3744.7916666666665,106.0,97.33333333333333,2.1339,2.1892,27,5,Saturday,5,True
2023-05-28,18846.666666666668,1019.375,3068.1041666666665,92.14583333333333,84.125,2.0911,2.1681,28,5,Sunday,6,True
2023-05-29,19032.770833333332,1249.7708333333333,3502.7916666666665,79.0625,76.22916666666667,2.0942,2.1526,29,5,Monday,0,False
2023-05-30,22430.416666666668,1197.5625,2891.9375,118.95833333333333,119.9375,2.0764,2.1374,30,5,Tuesday,1,False
2023-05-31,23409.979166666668,1317.3541666666667,2041.2291666666667,143.22916666666666,142.125,2.166,2.1061,31,5,Wednesday,2,False
